SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000554,The Middle Temple Murder,J. S. Fletcher,1919,English,"Fiction, Mystery","75,057",4 hours 33 minutes,74.39,Fairly easy,,,No,"The Artist’s Father, Reading a Newspaper",1892,Albert Engström,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 12, 2021, 5:06 p.m.",Download
0000555,Short Fiction,P. G. Wodehouse,1901-26,English,"Comedy, Fiction, Shorts","216,898",13 hours 9 minutes,76.11,Fairly easy,,,No,A Couple Walking Along the Basin,1932-35,Henri Martin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2021, 6:23 p.m.",Download
0000556,Richard III,William Shakespeare,1592,English,Drama,"31,753",1 hour 56 minutes,80.82,Easy,,,Yes,"Richard, Duke of Gloucester, and the Lady Anne",1896,Edwin Austin Abbey,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2021, 6:58 p.m.",Download
0000557,Tartuffe,Molière,1669,French,"Comedy, Drama","19,860",1 hour 13 minutes,72.66,Fairly easy,Curtis Hidden Page,,No,The Gentleman in the Shop,1660,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2021, 7:16 p.m.",Download
0000558,The Conquest of Bread,Peter Kropotkin,1892,French,Philosophy,"72,735",4 hours 25 minutes,53.14,Fairly difficult,Chapman and Hall,,No,Still Life with Figs and Bread,1770,Luis Meléndez,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 21, 2021, 12:29 a.m.",Download
0000559,The Jew of Malta,Christopher Marlowe,1589-90,English,Drama,"20,306",1 hour 14 minutes,73.98,Fairly easy,,,No,Shylock,1897,Eduard von Grützner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 25, 2021, 12:10 a.m.",Download
0000560,O Pioneers!,Willa Cather,1913,English,Fiction,"56,709",3 hours 27 minutes,82.34,Easy,,,Yes,Song of the Lark,1876,Winslow Homer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 26, 2021, 1:33 a.m.",Download
0000561,Topsy-Turvy,Jules Verne,1889,French,Fiction,"42,185",2 hours 34 minutes,61.16,Average difficulty,J. G. Ogilvie,,Yes,Winter Harmony,1890-1900,John Henry Twachtman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 27, 2021, 8:04 p.m.",Download
0000562,A Sicilian Romance,Ann Radcliffe,1790,English,Fiction,"67,829",4 hours 7 minutes,55.88,Fairly difficult,,,No,Evening: Landscape with an Aqueduct,1818,Théodore Géricault,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 28, 2021, 6:13 p.m.",Download
0000563,"The Autobiography of Ma-Ka-Tai-Me-She-Kia-Kiak, or Black Hawk",Black Hawk,1833,English,Autobiography,"64,912",3 hours 57 minutes,64.85,Average difficulty,,,No,"Ma-Ka-Tai-Me-She-Kia-Kiak, Black Hawk, Prominent Sac Chief",1832,George Catlin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 29, 2021, 9:13 p.m.",Download
0000564,The Song of the Lark,Willa Cather,1915,English,Fiction,"154,483",9 hours 22 minutes,82.44,Easy,,,Yes,The Shepherd’s Star,1887,Jules Breton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 31, 2021, 4:34 p.m.",Download
0000565,Edward III,William Shakespeare,1596,English,Drama,"21,531",1 hour 19 minutes,75.54,Fairly easy,,,No,The King of Thule,1896,Pierre Jean Van der Ouderaa,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 12, 2021, 10:43 p.m.",Download
0000566,The Country Wife,William Wycherley,1675,English,Drama,"34,489",2 hours 6 minutes,82.65,Easy,,,No,The Greeting,1675,Pieter de Hooch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 14, 2021, 12:38 a.m.",Download
0000567,Short Fiction,Ray Bradbury,1939-51,English,"Science Fiction, Shorts","73,417",4 hours 27 minutes,78.55,Fairly easy,,,No,The Great Comet of 1843,1843,Charles Piazzi Smyth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 18, 2021, 12:32 a.m.",Download
0000568,Little Dorrit,Charles Dickens,1857,English,Fiction,"342,674",20 hours 47 minutes,70.02,Fairly easy,,,No,Applicants for Admission to a Casual Ward,1874,Samuel Luke Fildes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 22, 2021, 7:05 p.m.",Download
0000569,Mutual Aid,Peter Kropotkin,1902,English,Philosophy,"88,477",5 hours 22 minutes,42.65,Difficult,,,No,Flock of Geese,1883,Elizabeth Nourse,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 27, 2021, 11:57 p.m.",Download
0000570,New Grub Street,George Gissing,1891,English,Fiction,"189,913",11 hours 31 minutes,73.88,Fairly easy,,,No,"Bessborough Street, Pimlico",1900,Ambrose McEvoy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 28, 2021, 5:57 p.m.",Download
0000571,The Child of the Cavern,Jules Verne,1877,French,"Adventure, Fiction","43,886",2 hours 40 minutes,71.95,Fairly easy,Vincent Parke and Company,,Yes,"Snowstorm, Mont Cenis",1820,J. M. W. Turner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 30, 2021, 10:24 p.m.",Download
0000572,Henry VIII,William Shakespeare,1623,English,Drama,"26,383",1 hour 36 minutes,78.28,Fairly easy,,,No,The Courtship of Anne Boleyn,1846,Emanuel Gottlieb Leutze,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 4, 2021, 7:07 p.m.",Download
0000573,Resurrection,Leo Tolstoy,1899,Russian,Fiction,"174,395",10 hours 35 minutes,69.01,Fairly easy,Louise Maude,,No,"Portrait of Efim Repin, the Artist’s Father",1879,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 6, 2021, 2:52 a.m.",Download
0000574,From the Earth to the Moon,Jules Verne,1865,French,Fiction,"50,840",3 hours 5 minutes,59.84,Average difficulty,"Ward, Lock & Co.",,Yes,Keelmen Heaving in Coals by Moonlight,1835,J. M. W. Turner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 7, 2021, 4:49 p.m.",Download
0000575,Doctor Thorne,Anthony Trollope,1858,English,Fiction,"220,529",13 hours 22 minutes,70.33,Fairly easy,,,Yes,The Doctor,1891,Luke Fildes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 19, 2021, 5:47 p.m.",Download
0000576,The Souls of Black Folk,W. E. B. Du Bois,1903,English,Nonfiction,"69,307",4 hours 13 minutes,53.34,Fairly difficult,,,No,Trompe-l’Oeil Still Life with a Flower Garland and a Curtain,1658,"Adriaen van der Spelt, Frans van Mieris",League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 30, 2021, 4:58 p.m.",Download
0000577,The King of Elfland’s Daughter,Lord Dunsany,1924,English,Fantasy,"69,699",4 hours 14 minutes,67.93,Average difficulty,,,No,At the Edge of the Forest,1820,August Heinrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 3, 2021, 6:35 p.m.",Download
0000578,The Survivors of the Chancellor,Jules Verne,1875,French,"Adventure, Fiction","52,988",3 hours 13 minutes,64.95,Average difficulty,Ellen Frewer,,Yes,The Raft of the Medusa,1819,Théodore Géricault,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 4, 2021, 3:02 p.m.",Download
0000579,The Wealth of Nations,Adam Smith,1776,English,Philosophy,"394,357",23 hours 55 minutes,50.3,Fairly difficult,,,No,The Bacino di San Marco from San Giorgio Maggiore,1744,Canaletto,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 5, 2021, 11:09 p.m.",Download
0000580,English as She Is Spoke,"Pedro Carolino, José da Fonseca",1855,English,Comedy,"8,201",30 minutes,85.08,Easy,,,No,"Self-Portrait, the Silence",1790,Joseph Ducreux,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 6, 2021, 3:09 a.m.",Download
0000581,Round the Moon,Jules Verne,1869,French,Fiction,"55,348",3 hours 22 minutes,63.59,Average difficulty,"Ward, Lock & Co.",,Yes,Moonlit Landscape,1649,Aert van der Neer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 7, 2021, 8:07 p.m.",Download
0000582,Short Fiction,Robert Sheckley,1952-60,English,"Science Fiction, Shorts","90,309",5 hours 29 minutes,78.35,Fairly easy,,,No,Circles in a Circle,1923,Wassily Kandinsky,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 8, 2021, 12:02 a.m.",Download
0000583,The Jade God,Alan Sullivan,1925,English,"Fiction, Mystery","75,445",4 hours 35 minutes,83.46,Easy,,,No,The Girl by the Window,1893,Edvard Munch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 10, 2021, 11:53 p.m.",Download
0000584,Short Fiction,Aleksandr Kuprin,1894-1919,"Russian, French","Fiction, Shorts","284,028",17 hours 13 minutes,71.85,Fairly easy,"S. Koteliansky, J. M. Murry, Stephen Graham, Rosa Savory Graham, Leo Pasvolsky, Douglas Ashby, The Living Age, B. Guilbert Guerney, Alexander Gagarine, Malcolm W. Davis",,No,The Harlot of Marseilles,1923,Boris Grigoriev,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 11, 2021, 6:14 p.m.",Download
0000585,Poetry,James Joyce,1907-27,English,Poetry,"4,351",16 minutes,79.9,Easy,,,No,Interior,1920,Lesser Ury,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 11, 2021, 10:29 p.m.",Download
0000586,Sister Carrie,Theodore Dreiser,1900,English,Fiction,"159,187",9 hours 39 minutes,75.5,Fairly easy,,,No,New York Street,1902,Childe Hassam,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 13, 2021, 5:45 p.m.",Download
0000587,On a Chinese Screen,W. Somerset Maugham,1922,English,"Shorts, Travel","51,307",3 hours 7 minutes,68.7,Average difficulty,,,No,Canton Waterfront (The Hongs at Canton),1840,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 18, 2021, 7:49 p.m.",Download
0000588,All’s Well That Ends Well,William Shakespeare,1623,English,"Comedy, Drama","24,855",1 hour 31 minutes,80.01,Easy,,,No,The Ring,1911,John White Alexander,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 18, 2021, 9:15 p.m.",Download
0000589,The Amateur Cracksman,E. W. Hornung,1899,English,"Fiction, Shorts","53,512",3 hours 15 minutes,81.53,Easy,,,Yes,Portrait of a Young Man,1912,Ambrose McEvoy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 26, 2021, 9:06 p.m.",Download
0000590,The Black Mask,E. W. Hornung,1901,English,"Fiction, Shorts","55,944",3 hours 24 minutes,79.4,Easy,,,Yes,The Man in a Black Shirt,1897,Charles Haslewood Shannon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 3, 2021, 5:12 p.m.",Download
0000591,"Captain Jinks, Hero",Ernest Howard Crosby,1902,English,"Fiction, Satire","69,016",4 hours 11 minutes,73.27,Fairly easy,,,No,Leonard Wood,1903,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 3, 2021, 8:49 p.m.",Download
0000592,The Ambassadors,Henry James,1903,English,Fiction,"168,595",10 hours 14 minutes,70.13,Fairly easy,,,No,Portrait of a Man,1880,Gustave Caillebotte,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 15, 2021, 1:44 a.m.",Download
0000593,His Family,Ernest Poole,1917,English,Fiction,"99,553",6 hours 3 minutes,83.86,Easy,,,No,Cliff Dwellers,1913,George Bellows,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 15, 2021, 2:14 a.m.",Download
0000594,A Thief in the Night,E. W. Hornung,1905,English,"Fiction, Shorts","64,751",3 hours 56 minutes,79.09,Easy,,,Yes,The Man in Black,1913,Glyn Philpot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 15, 2021, 9:57 p.m.",Download
0000595,Growth of the Soil,Knut Hamsun,1917,Norwegian,Fiction,"141,379",8 hours 35 minutes,80.92,Easy,W. W. Worster,,No,Farm Building in Gelderland,1810,Wouter Johannes van Troostwijk,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 19, 2021, 11:27 p.m.",Download
0000596,Framley Parsonage,Anthony Trollope,1861,English,Fiction,"211,158",12 hours 48 minutes,70.43,Fairly easy,,,Yes,Pinner Street,1899,John Buxton Knight,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 23, 2021, 2:12 a.m.",Download
0000597,The Magician,W. Somerset Maugham,1908,English,"Horror, Mystery","72,472",4 hours 24 minutes,74.08,Fairly easy,,,No,Portrait of a Gentleman,1645,Charles Mellin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 30, 2021, 1:17 a.m.",Download
0000598,Betty Zane,Zane Grey,1903,English,Fiction,"102,166",6 hours 12 minutes,82.44,Easy,,,No,"Meach-o-shín-gaw, Little White Bear, a Distinguished Brave",1832,George Catlin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 5, 2021, 12:33 a.m.",Download
0000599,What Is Art?,Leo Tolstoy,1898,Russian,Philosophy,"77,578",4 hours 43 minutes,50.7,Fairly difficult,Aylmer Maude,,No,Leo Tolstoy in His Study,1891,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 6, 2021, 11:30 p.m.",Download
0000600,Murder in the Gunroom,H. Beam Piper,1953,English,"Fiction, Mystery","69,273",4 hours 12 minutes,74.08,Fairly easy,,,No,Portrait de Jeune Homme,1929,Frank Edwin Scott,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 14, 2021, 5:27 p.m.",Download
0000601,The Dead Secret,Wilkie Collins,1857,English,Fiction,"141,589",8 hours 35 minutes,68.91,Average difficulty,,,No,The Silent Evening Hour,1900,Benjamin Williams Leader,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 18, 2021, 2:25 a.m.",Download
0000602,The Return of Tarzan,Edgar Rice Burroughs,1913,English,"Adventure, Fiction","90,037",5 hours 28 minutes,69.11,Fairly easy,,,Yes,Lions in the Desert,1898,Henry Ossawa Tanner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 18, 2021, 2:44 a.m.",Download
0000603,The Two Gentlemen of Verona,William Shakespeare,1598,English,Drama,"18,573",1 hour 8 minutes,82.65,Easy,,,No,"Two Gentlemen of Verona, Valentine Rescuing Sylvia from Proteus",1851,William Holman Hunt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 18, 2021, 2:57 a.m.",Download
0000604,Tarzan of the Apes,Edgar Rice Burroughs,1912,English,"Adventure, Fiction","86,643",5 hours 16 minutes,67.99,Average difficulty,,,Yes,Tropical Forest with Monkeys,1909,Henri Rousseau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 23, 2021, 7:26 p.m.",Download
0000605,With Fire and Sword,Henryk Sienkiewicz,1884,Polish,Fiction,"303,086",18 hours 23 minutes,71.24,Fairly easy,Jeremiah Curtin,,Yes,Standard-Bearer on the Battlefield,1889,Józef Brandt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 30, 2021, 3:59 a.m.",Download
0000606,Riders of the Purple Sage,Zane Grey,1912,English,"Adventure, Fiction","107,581",6 hours 32 minutes,83.15,Easy,,,No,"Cliffs of the Upper Colorado River, Wyoming Territory",1882,Thomas Moran,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 31, 2021, 8:02 p.m.",Download
0000607,Soldiers’ Pay,William Faulkner,1926,English,Fiction,"91,766",5 hours 34 minutes,76.82,Fairly easy,,,No,Moonlight on Passamaquoddy Bay,1893,George Inness,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 10:17 p.m.",Download
0000608,Seven Pillars of Wisdom,T. E. Lawrence,1926,English,"Adventure, Memoir, Nonfiction","252,970",15 hours 20 minutes,65.56,Average difficulty,,,No,Seated Arab Man with Horse,1850-58,Alfred de Dreux,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 10:32 p.m.",Download
0000609,The Sun Also Rises,Ernest Hemingway,1926,English,Fiction,"69,810",4 hours 14 minutes,87.31,Easy,,,No,Torerillos de Pueblo,1906,Ignacio Zuloaga,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 10:38 p.m.",Download
0000610,A Man Could Stand Up—,Ford Madox Ford,1926,English,Fiction,"71,122",4 hours 19 minutes,76.11,Fairly easy,,,Yes,The Power of Music,1919,Gilbert Gaul,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 10:42 p.m.",Download
0000611,Short Fiction,Ernest Hemingway,1922-27,English,"Fiction, Shorts","104,722",6 hours 21 minutes,86.2,Easy,,,No,Bullfight in a Divided Ring,1800-29,Francisco Goya,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 10:44 p.m.",Download
0000612,Winnie-the-Pooh,A. A. Milne,1926,English,Children’s,"23,270",1 hour 25 minutes,83.66,Easy,,,Yes,Long Island Farmhouses,1862-63,William Sidney Mount,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 11:35 p.m.",Download
0000613,The Taming of the Shrew,William Shakespeare,1593,English,Drama,"22,531",1 hour 22 minutes,73.58,Fairly easy,,,No,The Taming of the Shrew,1861,Sir John Gilbert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 1, 2022, 11:44 p.m.",Download
0000614,Antony and Cleopatra,William Shakespeare,1623,English,Drama,"27,174",1 hour 39 minutes,74.59,Fairly easy,,,No,The Meeting of Antony and Cleopatra,1885,Sir Lawrence Alma-Tadema,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 3, 2022, 8:32 p.m.",Download
0000615,My Disillusionment in Russia,Emma Goldman,1924,English,"Memoir, Nonfiction","86,354",5 hours 15 minutes,52.7,Fairly difficult,,,No,"Destruction of the Ghetto, Kiev",1919,Abraham Manievich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 5, 2022, 3:31 a.m.",Download
0000616,Wet Magic,E. Nesbit,1913,English,"Children’s, Fantasy","50,557",3 hours 4 minutes,81.02,Easy,,,No,Children of the Sea,1872,Jozef Israëls,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 5, 2022, 4:11 a.m.",Download
0000617,So Big,Edna Ferber,1924,English,Fiction,"88,645",5 hours 23 minutes,75.4,Fairly easy,,,No,Mother and Child,1906,Gari Melchers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 5, 2022, 5:05 a.m.",Download
0000618,The Murder of Roger Ackroyd,Agatha Christie,1926,English,Mystery,"71,561",4 hours 21 minutes,77.84,Fairly easy,,,Yes,Portrait of Alderman Charles Gabriel Beale,1901,Walter William Ouless,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 6, 2022, 5:06 p.m.",Download
0000619,Indiscretions of Archie,P. G. Wodehouse,1921,English,"Comedy, Fiction","75,080",4 hours 34 minutes,75.91,Fairly easy,,,No,Un coin de salon chez le peintre,1852,Jean François Gigoux,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 7, 2022, 11:51 p.m.",Download
0000620,The Pothunters,P. G. Wodehouse,1902,English,Fiction,"42,234",2 hours 34 minutes,76.22,Fairly easy,,,No,Banquet Piece with Mince Pie,1635,Willem Claesz Heda,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 8, 2022, 7:52 p.m.",Download
0000621,The Skylark of Space,E. E. Smith,1928,English,Science Fiction,"85,891",5 hours 13 minutes,70.94,Fairly easy,,,Yes,Composition,1943,Andrée Rexroth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 9, 2022, 12:12 a.m.",Download
0000622,The Able McLaughlins,Margaret Wilson,1923,English,Fiction,"64,950",3 hours 57 minutes,83.66,Easy,,,No,After a Summer Shower,1894,George Inness,League Spartan and Sorts Mill Goudy,The League of Moveable Type.,"January 13, 2022, 6:41 p.m.",Download
0000623,Gentlemen Prefer Blondes,Anita Loos,1925,English,"Comedy, Fiction","38,888",2 hours 22 minutes,71.78,Fairly easy,,,No,La casquette de Poiret,1914,Léon Comerre,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 20, 2022, 6:46 p.m.",Download
0000624,Invaders from the Infinite,John W. Campbell,1932,English,Science Fiction,"65,298",3 hours 58 minutes,72.26,Fairly easy,,,Yes,Aurora Borealis,1865,Frederic Edwin Church,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 20, 2022, 7:22 p.m.",Download
0000625,The Power of Darkness,Leo Tolstoy,1886,Russian,Drama,"29,494",1 hour 48 minutes,88.53,Easy,"Louise Maude, Aylmer Maude",,No,Portrait of a Girl,1844-1930,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 20, 2022, 7:35 p.m.",Download
0000626,Short Fiction,Xavier de Maistre,1794-1825,French,"Fiction, Shorts","72,994",4 hours 26 minutes,64.64,Average difficulty,"John Andrews, Henry Attwell, H. C. Carey, I. Lea",,No,The Artist’s Sitting Room in Ritterstrasse,1851,Adolph Menzel,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 21, 2022, 2:32 a.m.",Download
0000627,Gil Blas,Alain-René Lesage,1715-35,French,Fiction,"316,965",19 hours 13 minutes,64.75,Average difficulty,Tobias Smollett,,No,Those Who Swim in Sin Must Sink in Sorrow,1895,Frank Dadd,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 25, 2022, 5:35 a.m.",Download
0000628,Dangerous Liaisons,Pierre Choderlos de Laclos,1782,French,Fiction,"138,266",8 hours 23 minutes,63.93,Average difficulty,Thomas Moore,,No,L’Indiscret,1795,Louis-Léopold Boilly,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 25, 2022, 9:51 p.m.",Download
0000629,The Worm Ouroboros,E. R. Eddison,1922,English,Fantasy,"170,737",10 hours 21 minutes,74.63,Fairly easy,,,No,The Battle of Vercellae,1729,Giovanni Battista Tiepolo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 8, 2022, 2:27 a.m.",Download
0000630,A Damsel in Distress,P. G. Wodehouse,1919,English,"Comedy, Fiction","78,325",4 hours 45 minutes,75.3,Fairly easy,,,No,Malvern Hall,1820,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 8, 2022, 5:58 p.m.",Download
0000631,A Gentleman of Leisure,P. G. Wodehouse,1921,English,"Comedy, Fiction","70,210",4 hours 16 minutes,77.03,Fairly easy,,,No,Chester Dale,1922,George Bellows,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 9, 2022, 11:34 p.m.",Download
0000632,The Kalevala,Elias Lönnrot,1849,Finnish,Poetry,"137,048",8 hours 19 minutes,50.23,Fairly difficult,John Martin Crawford,,No,Kullervo Cursing,1899,Akseli Gallen-Kallela,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 15, 2022, 6:41 p.m.",Download
0000633,The Merchant of Venice,William Shakespeare,1596,English,"Comedy, Drama","22,579",1 hour 23 minutes,78.99,Fairly easy,,,No,Piazza San Marco,1727-29,Canaletto,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 15, 2022, 7:00 p.m.",Download
0000634,Household Tales,"Jacob Grimm, Wilhelm Grimm",1857,German,"Children’s, Fiction, Shorts","284,153",17 hours 14 minutes,82.48,Easy,Margaret Hunt,,No,Red Riding Hood,1864,John Everett Millais,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 21, 2022, 9:58 p.m.",Download
0000635,Journals,Alexander Mackenzie,1802,English,"Adventure, Nonfiction, Travel","121,002",7 hours 21 minutes,58.96,Fairly difficult,,,No,The Solemn Land,1921,J. E. H. MacDonald,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2022, 7:10 p.m.",Download
0000636,The Beasts of Tarzan,Edgar Rice Burroughs,1914,English,"Adventure, Fiction","64,072",3 hours 53 minutes,64.14,Average difficulty,,,Yes,The Mouth of the Bosphorus,1880-89,Félix Ziem,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2022, 7:55 p.m.",Download
0000637,Timon of Athens,William Shakespeare,1623,English,Drama,"20,207",1 hour 14 minutes,82.44,Easy,,,No,The Parthenon,1871,Frederic Edwin Church,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2022, 8:36 p.m.",Download
0000638,Facing the Flag,Jules Verne,1896,French,Science Fiction,"56,970",3 hours 28 minutes,69.21,Fairly easy,F. Tennyson Neely,,Yes,"The Blue Grotto, Capri",1857,Albert Bierstadt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2022, 9:10 p.m.",Download
0000639,Where Angels Fear to Tread,E. M. Forster,1905,English,"Fiction, Satire","50,558",3 hours 4 minutes,75.91,Fairly easy,,,No,A Tuscan Farm,1926-31,Edward Bruce,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2022, 10:15 p.m.",Download
0000640,Those Barren Leaves,Aldous Huxley,1925,English,"Fiction, Satire","124,985",7 hours 35 minutes,64.71,Average difficulty,,,No,The Grand Staircase of the Villa d’Este at Tivoli,1760,Jean-Honoré Fragonard,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 4, 2022, 3:01 a.m.",Download
0000641,The Small House at Allington,Anthony Trollope,1864,English,Fiction,"262,041",15 hours 53 minutes,80.41,Easy,,,Yes,Pea Blossoms,1890,Edward Poynter,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 11, 2022, 5:43 p.m.",Download
0000642,Catriona,Robert Louis Stevenson,1893,English,"Adventure, Children’s, Fiction","102,045",6 hours 12 minutes,77.67,Fairly easy,,,No,David and Catriona,1924,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 12, 2022, 2:45 p.m.",Download
0000643,Orlando Furioso,Ludovico Ariosto,1532,Italian,Poetry,"306,284",18 hours 34 minutes,56.02,Fairly difficult,William Stewart Rose,,No,The Damsel and Orlando,1793,Benjamin West,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 17, 2022, 3:43 p.m.",Download
0000644,A Daughter of the Samurai,Etsu Inagaki Sugimoto,1925,English,"Autobiography, Nonfiction","95,999",5 hours 50 minutes,66.37,Average difficulty,,,No,The Mirror,1900,William Merritt Chase,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 20, 2022, 9:28 p.m.",Download
0000645,The Secret City,Hugh Walpole,1919,English,Fiction,"128,015",7 hours 46 minutes,73.47,Fairly easy,,,No,The First Cloud,1887,William Quiller Orchardson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 22, 2022, 2:49 a.m.",Download
0000646,What Is Property?,Pierre-Joseph Proudhon,1840,French,Philosophy,"146,157",8 hours 52 minutes,47.83,Difficult,Benjamin Tucker,,No,Proudhon and His Children,1865,Gustave Courbet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 22, 2022, 8:37 p.m.",Download
0000647,Babbitt,Sinclair Lewis,1922,English,Fiction,"126,720",7 hours 41 minutes,71.34,Fairly easy,,,No,City Garden,1936,Gilbert Sackerman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 23, 2022, 5:44 p.m.",Download
0000648,Twenty Years After,Alexandre Dumas,1845,French,"Adventure, Fiction","245,229",14 hours 52 minutes,72.16,Fairly easy,Estes and Lauriat,,Yes,The Night Watch,1642,Rembrandt van Rijn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 25, 2022, 8:45 p.m.",Download
